mpg,cylinders,horsepower,weight
31.0,4,65,1773
35.0,4,69,1613
31.0,4,67,1950
32.0,4,65,1836
31.0,4,52,1649
32.0,4,61,2003
31.0,4,67,2000
33.0,4,53,1795
33.0,4,53,1795
32.0,4,70,1990
31.5,4,68,2045
36.0,4,58,1825
33.5,4,70,1945
30.5,4,63,2051
33.5,4,83,2075
30.5,4,78,2190
43.1,4,48,1985
36.1,4,66,1800
32.8,4,52,1985
39.4,4,70,2070
36.1,4,60,1800
30.9,4,75,2230
31.5,4,71,1990
31.9,4,71,1925
34.1,4,65,1975
35.7,4,80,1915
34.2,4,70,2200
34.5,4,70,2150
31.8,4,65,2020
37.3,4,69,2130
33.5,4,90,2556
41.5,4,76,2144
38.1,4,60,1968
32.1,4,70,2120
37.2,4,65,2019
34.3,4,78,2188
31.3,4,75,2542
37.0,4,92,2434
32.2,4,75,2265
46.6,4,65,2110
40.8,4,65,2110
44.3,4,48,2085
43.4,4,48,2335
36.4,5,67,2950
44.6,4,67,1850
40.9,4,93,1835
33.8,4,67,2145
32.7,6,132,2910
35.0,4,88,2500
32.4,4,72,2290
39.1,4,58,1755
39.0,4,64,1875
35.1,4,60,1760
32.3,4,67,2065
37.0,4,65,1975
37.7,4,62,2050
34.1,4,68,1985
34.7,4,63,2215
34.4,4,65,2045
33.0,4,74,2190
34.5,4,93,2320
33.7,4,75,2210
32.4,4,75,2350
32.9,4,100,2615
31.6,4,74,2635
30.7,6,76,3160
34.0,4,88,2395
31.0,4,85,2575
36.0,4,74,1980
37.0,4,68,2025
31.0,4,68,1970
38.0,4,63,2125
36.0,4,70,2125
36.0,4,88,2160
36.0,4,75,2205
34.0,4,70,2245
38.0,4,67,1965
32.0,4,67,1965
38.0,4,67,1995
38.0,6,85,3015
32.0,4,96,2665
36.0,4,84,2370
44.0,4,52,2130
32.0,4,84,2295
31.0,4,82,2720
